"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",1,150,"Used","0","None","Black","32","iPad mini",NA,12041,"Test"
"Only used for a couple of days",1,120,"Seller refurbished","0","None","Unknown","16","Unknown",NA,12042,"Test"
"",0,499.99,"Used","1","Verizon","Unknown","16","iPad Air 2",NA,12043,"Test"
"Shows very little wear from use. Has personalized name on back, but can easily be removed/covered up",1,93,"Used","0","None","Unknown","64","iPad 1",NA,12044,"Test"
"",1,450,"New","0","None","Space Gray","64","iPad Air 2",NA,12045,"Test"
"",1,139,"Used","0","None","Unknown","16","iPad 2",NA,12046,"Test"
"",0,520,"New","0","None","Unknown","64","iPad Air 2",NA,12047,"Test"
"",1,74.99,"Used","0","None","Black","16","iPad 1",NA,12048,"Test"
"",1,20,"Used","0","None","Black","32","iPad 2",NA,12049,"Test"
"Grade B refurbished.  No factory packaging.  Small dent in side casing (see photos).  Several ",0,249.99,"Manufacturer refurbished","1","Verizon","Black","16","iPad 4",NA,12050,"Test"
"",1,25,"Used","Unknown","Unknown","Unknown","16","Unknown",NA,12051,"Test"
"",0,175,"Used","0","None","White","16","iPad 2",NA,12052,"Test"
"",1,189,"Used","0","None","Unknown","16","iPad 4",NA,12053,"Test"
"A device listed in good condition with a few minor mark and/or scratches on the housing or display ",0,169,"Used","0","None","White","64","iPad 2",NA,12054,"Test"
"",1,29.99,"Used","1","Other","Black","16","iPad 1",NA,12055,"Test"
"",1,90,"Used","1","AT&T","Unknown","64","iPad Air",NA,12056,"Test"
"item that has been restored to working order  item is not in original packaging may have light ",0,230,"Seller refurbished","0","None","White","16","iPad mini 2",NA,12057,"Test"
"Some scratches and tape residue visible on the back from previous owner.

Item is used and shows ",1,249.98,"Used","0","None","Unknown","16","iPad Air",NA,12058,"Test"
"Excellent condition...like new...........",1,140,"Used","0","None","Unknown","16","iPad mini",NA,12059,"Test"
"",0,145,"Used","0","None","Unknown","16","iPad mini",NA,12060,"Test"
"",1,0.01,"Used","1","Unknown","White","32","iPad 1",NA,12061,"Test"
"",1,1,"Used","1","AT&T","Unknown","16","iPad mini",NA,12062,"Test"
"Used. Absolute must-have. Some signs of use.Scratches on the back of the device. See photos. Comes ",1,195,"Used","0","None","Unknown","32","iPad 4",NA,12063,"Test"
"",1,250,"Used","0","None","White","16","iPad Air 2",NA,12064,"Test"
"",1,125,"Used","0","None","Unknown","16","iPad mini",NA,12065,"Test"
"",1,179.99,"Used","0","None","Black","16","iPad 3",NA,12066,"Test"
"",1,99.95,"Used","1","Verizon","Unknown","16","iPad 3",NA,12067,"Test"
"",1,1,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",NA,12068,"Test"
"",0,559.99,"New other (see details)","0","None","Unknown","64","iPad 4",NA,12069,"Test"
"",0,290,"Used","0","None","Black","16","iPad 3",NA,12070,"Test"
"Please read details below. There some personal greeting title on back cover from a previous owner as ",0,92.14,"Used","0","None","Unknown","16","iPad 1",NA,12071,"Test"
"",1,99.99,"Used","0","None","Unknown","16","iPad 2",NA,12072,"Test"
"",1,79,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",NA,12073,"Test"
"Has been reset to original factory settings.",1,290,"Seller refurbished","1","Verizon","White","16","iPad Air",NA,12074,"Test"
"",1,225,"Seller refurbished","1","Verizon","White","32","iPad 3",NA,12075,"Test"
"",1,9.99,"Used","0","None","Black","32","iPad 2",NA,12076,"Test"
"Like new. Fully functional, No damage at all.  It comes in the original apple box.",0,171.95,"Used","0","None","Unknown","16","iPad mini",NA,12077,"Test"
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,"Used","1","AT&T","Unknown","16","iPad 2",NA,12078,"Test"
"",1,199,"Used","0","None","Space Gray","64","iPad mini 3",NA,12079,"Test"
"The iPad is in very good condition. On the upper right side there is a small chip on the side of the ",1,149.99,"Used","0","None","Unknown","32","iPad 3",NA,12080,"Test"
"",1,150,"New other (see details)","0","None","White","16","iPad 3",NA,12081,"Test"
"",1,99,"Used","0","None","Space Gray","16","iPad mini",NA,12082,"Test"
"The screen has a few scratches. There are a few dings around the edges. The back has a few scratches ",1,50,"Used","1","Unknown","Unknown","64","iPad 1",NA,12083,"Test"
"Minor wear and tear. Device is fully operational and in working order. No major scratches on screen ",1,0.01,"Used","0","None","White","16","iPad 2",NA,12084,"Test"
"",0,230,"New","0","None","Black","16","iPad mini",NA,12085,"Test"
"Please read details below. There some personal greeting title on back cover from a previous owner as ",0,92.14,"Used","0","None","Unknown","16","iPad 1",NA,12086,"Test"
"Used Apple iPad 4th Generation 64GB, Wi-Fi, 9.7in - Black,has signs of wear, has been restored to ",1,0.99,"Used","0","None","Black","64","iPad 4",NA,12087,"Test"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,215,"Used","Unknown","Unknown","White","32","iPad 3",NA,12088,"Test"
"Like new condition. No scratches,clear bright display.New original charger included.",1,99,"Used","1","AT&T","White","64","iPad 1",NA,12089,"Test"
"Used. Not iCloud Locked.",1,90,"Used","1","Unknown","Black","16","iPad Air",NA,12090,"Test"
"Won&#039;t hold charge/ cracked screen",1,0.99,"Used","0","None","Unknown","32","iPad mini",NA,12091,"Test"
"",1,174.99,"Used","0","None","White","16","iPad 2",NA,12092,"Test"
"Cracked screen, all buttons, volume and functions work.",1,150,"Used","0","None","Unknown","16","iPad mini",NA,12093,"Test"
"",1,95,"Used","1","Verizon","Black","32","iPad 2",NA,12094,"Test"
"Screen was replaced with a white one, it does not affect iPad&#039;s functioanlity",0,144.99,"Seller refurbished","0","None","Space Gray","16","iPad mini",NA,12095,"Test"
"",0,9,"Used","Unknown","Unknown","Space Gray","64","iPad Air 2",NA,12096,"Test"
"this ipad is fully functional and in excellent condition. icloud has been deactivated and ready for ",1,99.99,"Used","0","None","White","64","iPad Air",NA,12097,"Test"
"Almost new condition. Some scuffs around two of the corners but nothing noticeable. Works great. ",0,150,"Used","0","None","Unknown","16","iPad mini",NA,12098,"Test"
"",1,170,"Used","Unknown","Unknown","Space Gray","16","iPad 2",NA,12099,"Test"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,204,"Used","1","AT&T","White","16","iPad 3",NA,12100,"Test"
"This item is used and in acceptable condition. Moderate scratches around the side and back, dented ",0,189.99,"Used","1","AT&T","Unknown","16","iPad 2",NA,12101,"Test"
"",1,1,"New","1","AT&T","Space Gray","128","iPad mini 2",NA,12102,"Test"
"In great shape. Almost new.",0,367.97,"Used","1","AT&T","Unknown","32","iPad 4",NA,12103,"Test"
"",0,370,"Used","1","AT&T","Unknown","32","iPad Air",NA,12104,"Test"
"",1,0.99,"Used","0","None","White","64","iPad 2",NA,12105,"Test"
"This is an iPad Air first generation (gray color). It&#039;s a used iPad (just like new) as shown in the ",0,290,"Used","0","None","Unknown","16","iPad Air",NA,12106,"Test"
"",1,0.99,"Used","0","None","Unknown","32","iPad Air",NA,12107,"Test"
"",1,329.99,"Used","Unknown","Unknown","White","Unknown","iPad mini 2",NA,12108,"Test"
"New Open Box",0,259.99,"New other (see details)","1","Sprint","White","64","iPad mini",NA,12109,"Test"
"MINT CONDITION",0,374.99,"Used","1","Verizon","Space Gray","32","iPad Air",NA,12110,"Test"
"",1,200,"Used","0","None","Space Gray","64","iPad mini 2",NA,12111,"Test"
"",1,480,"New","0","None","White","64","iPad Air 2",NA,12112,"Test"
"",1,200,"New other (see details)","0","None","White","32","iPad Air",NA,12113,"Test"
"",1,75,"Used","0","None","Black","16","iPad 2",NA,12114,"Test"
"",1,200,"Used","0","None","White","32","iPad 2",NA,12115,"Test"
"",1,99.99,"Used","0","None","White","16","iPad 2",NA,12116,"Test"
"",1,225,"Used","0","None","Unknown","32","iPad mini",NA,12117,"Test"
"",1,30,"Used","0","None","White","16","iPad 2",NA,12118,"Test"
"",0,181,"Used","0","None","Unknown","16","iPad mini",NA,12119,"Test"
"In excellent condition. No scratches and has been in case since purchased. Will send chargers for ",0,259.99,"Used","0","None","Black","16","iPad 4",NA,12120,"Test"
"Mint condition!",1,75,"Used","0","None","White","16","iPad mini",NA,12121,"Test"
"",1,469.99,"Used","1","Verizon","Space Gray","64","iPad Air 2",NA,12122,"Test"
"",1,5,"Used","0","None","Space Gray","16","iPad mini",NA,12123,"Test"
"Used iPad but in great shape.  The upper left corner had been dinged but it has been re-shaped and a ",1,50,"Used","0","None","Black","16","iPad 4",NA,12124,"Test"
"",1,99.99,"Used","0","None","Black","64","iPad 4",NA,12125,"Test"
"",1,99,"Used","0","None","Space Gray","16","iPad mini 3",NA,12126,"Test"
"",1,200,"Used","1","T-Mobile","White","64","iPad Air",NA,12127,"Test"
"",0,165,"Seller refurbished","0","None","Black","16","iPad 2",NA,12128,"Test"
"",1,25,"Used","0","None","Space Gray","Unknown","iPad mini",NA,12129,"Test"
"Excellent condition, spent its entire life in an otter box.",1,50,"Used","0","None","Unknown","16","iPad mini",NA,12130,"Test"
"This is a A- Stock item, meaning the unit is in a very good cosmetic condition. It shows a smooth ",0,389.99,"Used","1","AT&T","Unknown","64","iPad Air",NA,12131,"Test"
"LIKE NEW!!!!!!!! iPad contains a small engraved University of Arizona emblem. No scratches or wear.",1,200,"Used","0","None","Black","16","iPad 4",NA,12132,"Test"
"3 of 5. This item is gently used. The item shows minor to average signs of wear and tear including ",0,144.99,"Used","0","None","Unknown","16","iPad 2",NA,12133,"Test"
"iCloud Locked. For Use if you can unlock it, or parts.",1,100,"Used","0","None","Space Gray","16","iPad Air",NA,12134,"Test"
"",0,275,"Used","1","Unknown","White","64","iPad 2",NA,12135,"Test"
"Used. Absolute must-have. Some signs of use. Scratches on the back of the device. See photos. Comes ",1,112,"Used","0","None","Unknown","16","iPad mini",NA,12136,"Test"
"Device is in AVERAGE used cosmetic condition with heavy scratches and wear. Color is black.Device is ",0,74,"Used","1","AT&T","Unknown","16","iPad 1",NA,12137,"Test"
"",1,140,"Used","0","None","White","16","iPad 2",NA,12138,"Test"
"",1,0.99,"New","1","Unknown","White","16","iPad mini 2",NA,12139,"Test"
"Has the normal wear that you would expect from a used item.",1,129.95,"Used","0","None","Unknown","64","iPad 1",NA,12140,"Test"
"Used: An item that has been used previously. The item has some signs of cosmetic wear, but is fully ",1,238,"Used","0","None","Black","16","iPad 4",NA,12141,"Test"
"",0,185,"Used","0","None","Unknown","16","iPad mini",NA,12142,"Test"
"",0,211.5,"Used","0","None","Unknown","32","iPad mini",NA,12143,"Test"
"",0,314.99,"Used","0","None","Black","16","iPad 3",NA,12144,"Test"
"",1,99,"Used","0","None","White","16","iPad mini",NA,12145,"Test"
"Please see pics and description for condition.",1,0.99,"Used","1","AT&T","Unknown","16","iPad Air",NA,12146,"Test"
"Very good condition",1,50,"Used","1","AT&T","Black","32","iPad mini",NA,12147,"Test"
"Tested, in good working condition.",0,124.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12148,"Test"
"Very good condition. Kept in protective case and well cared for. Has 2 minor dents on corners (no ",1,0.99,"Used","0","None","White","16","iPad 2",NA,12149,"Test"
"",0,417,"Used","0","None","White","64","iPad 2",NA,12150,"Test"
"",1,96,"Used","0","None","Space Gray","32","iPad 2",NA,12151,"Test"
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12152,"Test"
"ITEM IS BRAND NEW AND NEVER REMOVED FROM BOX.  SHRINK WRAP MAY HAVE SOME TEARS.  NEW FACTORY SEALED",0,310,"New other (see details)","0","None","Unknown","16","iPad 2",NA,12153,"Test"
"Only Opened box but is new",1,350,"New other (see details)","0","None","White","128","iPad mini 3",NA,12154,"Test"
"No cracksNo scratches Nothing not working",1,200,"Used","0","None","Unknown","16","iPad 2",NA,12155,"Test"
"Original IPAD 1st generation - used one owner (myself)Good shape as pictured. Fully functional as ",1,40,"Used","0","None","Black","32","Unknown",NA,12156,"Test"
"â€œIn very good shape! Like new condition!â€ù",1,107,"Used","1","AT&T","Black","32","iPad 4",NA,12157,"Test"
"In good working condition with scratches from normal use",0,189.99,"Used","0","None","Black","16","iPad 2",NA,12158,"Test"
"CONDITION: Brand New condition in replacement box. Does NOT include original box. Tablet comes ",0,379,"New other (see details)","0","None","Space Gray","16","iPad Air",NA,12159,"Test"
"",1,25,"Used","Unknown","Unknown","Unknown","Unknown","iPad 1",NA,12160,"Test"
"",1,99.99,"Used","0","None","White","16","iPad 2",NA,12161,"Test"
"",1,199,"Used","0","None","Unknown","32","iPad Air",NA,12162,"Test"
"THIS IPAD IS IN EXCELLENT WORKING CONDITION NO SCRATCHES ON SCREEN A SLIGHT DENT ON ONE OF THE ",1,179,"Used","1","Verizon","Black","64","iPad 2",NA,12163,"Test"
"I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.",0,50,"Used","0","None","Black","Unknown","Unknown",NA,12164,"Test"
"gently used. like new",0,265,"Used","0","None","Unknown","16","iPad Air",NA,12165,"Test"
"",1,0.99,"Used","0","None","White","16","iPad mini 2",NA,12166,"Test"
"",1,325,"New","0","None","Space Gray","128","iPad mini 2",NA,12167,"Test"
"",1,99,"Used","0","None","Unknown","32","iPad 2",NA,12168,"Test"
"Used. Absolute must-have. Some signs of use. Scratches and stains on the back of the device. See ",1,121,"Used","1","Verizon","Unknown","16","iPad 2",NA,12169,"Test"
"In excellent condition. Minor scratches on the back. Screen in mint condition. Comes in original ",0,200,"Used","1","AT&T","Black","32","iPad 3",NA,12170,"Test"
"This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ",0,179,"Used","0","None","White","64","iPad 2",NA,12171,"Test"
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12172,"Test"
"iPad is in Great condition, the screen is in great condition showing only a few minor scratches, the ",1,0.99,"Used","0","None","Unknown","16","iPad mini 2",NA,12173,"Test"
"",1,199.99,"New","Unknown","Unknown","Unknown","32","iPad Air 2",NA,12174,"Test"
"",0,199,"Used","Unknown","Unknown","Unknown","16","iPad 4",NA,12175,"Test"
"This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ",0,369.99,"Used","1","Verizon","Space Gray","64","iPad Air",NA,12176,"Test"
"",1,10,"New other (see details)","0","None","White","64","iPad 4",NA,12177,"Test"
"ITEM IS BRAND NEW AND NEVER TAKEN OUT OF FACTORY PACKAGE.  SHRINK WRAP MAY HAVE SOME TEARS.  BOX AND ",0,410,"New other (see details)","0","None","Unknown","32","iPad 4",NA,12178,"Test"
"",0,168,"Used","0","None","Black","16","iPad mini",NA,12179,"Test"
"",1,150,"Used","1","AT&T","Unknown","64","iPad 2",NA,12180,"Test"
"Good condition and fully functional",1,60,"Used","0","None","White","16","iPad 1",NA,12181,"Test"
"",1,200,"Used","0","None","Unknown","16","iPad Air",NA,12182,"Test"
"",1,149,"Used","0","None","White","16","iPad mini",NA,12183,"Test"
"I USED 1 WEEK . I GOT GIFT NEW IPAD BECAUSE I DON&#039;T NEED 2 IPADS.",0,50,"Used","0","None","Black","Unknown","Unknown",NA,12184,"Test"
"Perfect working order!! No chips or dings...very nice condition.",1,220,"Used","1","Verizon","Unknown","16","iPad 4",NA,12185,"Test"
"Fully functional, in excellent condition. All original paperwork and packaging is included.",1,249.99,"Used","1","Verizon","Unknown","64","iPad 3",NA,12186,"Test"
"",1,325,"Used","0","None","Space Gray","32","iPad Air",NA,12187,"Test"
"",1,150,"Used","1","AT&T","Black","Unknown","iPad 2",NA,12188,"Test"
"",1,149,"Used","1","Verizon","Unknown","32","iPad 2",NA,12189,"Test"
"",1,50,"Used","0","None","Black","16","iPad mini",NA,12190,"Test"
"",1,299,"Used","0","None","Black","64","iPad 3",NA,12191,"Test"
"Excellent condition",1,300,"Used","0","None","Unknown","16","iPad Air",NA,12192,"Test"
"",0,214.98,"New","0","None","White","16","iPad mini",NA,12193,"Test"
"",0,150.99,"Used","0","None","Unknown","16","iPad 2",NA,12194,"Test"
"Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ",0,199.99,"Used","0","None","Unknown","32","iPad mini",NA,12195,"Test"
"",1,89,"Used","0","None","Black","16","iPad 2",NA,12196,"Test"
"Excellent condition except for one nick on the corner shown in pics.",0,299.99,"Used","1","AT&T","Unknown","32","iPad 3",NA,12197,"Test"
"Corner dings, minor wear on back.",0,90,"Seller refurbished","0","None","Black","32","iPad 1",NA,12198,"Test"
"",1,199,"Used","0","None","Black","64","iPad 3",NA,12199,"Test"
"Small cosmetic scratches and or dings nothing major",1,75,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12200,"Test"
"",1,0.99,"Used","1","Other","Unknown","32","iPad 1",NA,12201,"Test"
"Works perfect. As shown",0,300,"Used","0","None","Unknown","32","iPad mini",NA,12202,"Test"
"",1,289,"Used","0","None","Black","16","iPad 3",NA,12203,"Test"
"Excellent condition, not a scratch on it. Very sparingly used.",1,250,"Used","0","None","Unknown","16","iPad 4",NA,12204,"Test"
"excellent condition!",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","iPad Air 2",NA,12205,"Test"
"",1,200,"New","0","None","Space Gray","16","iPad Air 2",NA,12206,"Test"
"Good condition",0,179.99,"Used","0","None","Unknown","16","iPad 2",NA,12207,"Test"
"",1,140,"Used","1","AT&T","White","64","iPad 3",NA,12208,"Test"
"Previously owned condition and showing a little wear from use, handling, and storage.  The keyboard ",1,339,"Used","Unknown","Other","Unknown","16","iPad Air 2",NA,12209,"Test"
"â€œUsed Apple Ipad 16 gig 1st generation in Great working condition and 100% functional.Very little ",0,109,"Seller refurbished","0","None","Black","32","iPad 1",NA,12210,"Test"
"Will have cosmetic damage",0,199.99,"Used","0","None","Unknown","64","iPad 2",NA,12211,"Test"
"",1,400,"Used","1","AT&T","White","128","iPad mini 2",NA,12212,"Test"
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12213,"Test"
"",1,150,"Used","0","None","Unknown","16","iPad mini",NA,12214,"Test"
"The iPad is in great shape, having been gently used and covered since purchase.  The Speck cover is ",1,0.01,"Used","0","None","Black","16","iPad mini",NA,12215,"Test"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,162,"Used","1","Verizon","White","16","iPad 2",NA,12216,"Test"
"Super clean with box.",1,149.95,"Used","0","None","Black","16","iPad 2",NA,12217,"Test"
"",0,172,"Used","0","None","White","16","iPad 2",NA,12218,"Test"
"Like new, barely used",1,190.99,"Used","0","None","Black","16","Unknown",NA,12219,"Test"
"This iPad has been converted from 3G capable to WIFI ONLY.",0,150,"Used","0","None","Black","64","iPad 2",NA,12220,"Test"
"Has the normal wear that you would expect from a used item.",1,89.95,"Used","0","None","Unknown","32","iPad 1",NA,12221,"Test"
"",0,300,"Used","0","None","White","64","iPad 2",NA,12222,"Test"
"Ipad is in GOOD CONDITION. No screen scratch. Only a small scratch from a corner of the Ipad. Works ",0,350,"Used","0","None","Unknown","64","iPad 2",NA,12223,"Test"
"CLEAN ESN &amp; READY TO BE CONNECTED TO THE SPRINT NETWORK",1,499.99,"Used","1","Sprint","Gold","64","iPad Air 2",NA,12224,"Test"
"IPAD mini .. not sure of what generation it can be.. selling as is or best offer..had a crack but ",0,149.99,"Used","Unknown","Unknown","Unknown","16","Unknown",NA,12225,"Test"
"",1,180,"Used","1","Verizon","Black","64","iPad 2",NA,12226,"Test"
"",1,50,"New","0","None","White","16","iPad Air",NA,12227,"Test"
"",1,324.99,"New other (see details)","0","None","Unknown","16","iPad Air 2",NA,12228,"Test"
"",1,58,"Used","0","None","Unknown","32","iPad 1",NA,12229,"Test"
"",1,197.97,"Used","0","None","Unknown","64","iPad mini 3",NA,12230,"Test"
"iPad is fully functional. Some dings and scratches on the body I&#039;ve tried to make clear in the ",1,85,"Used","0","None","Unknown","32","iPad 3",NA,12231,"Test"
"Refurbished by Best Buy Geek Squad Comes With Apple Manufactures Warranty Good till March 28, 2016",1,0.99,"Seller refurbished","1","Unknown","Gold","16","iPad Air 2",NA,12232,"Test"
"14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ",0,79.99,"Seller refurbished","1","AT&T","Black","16","iPad 1",NA,12233,"Test"
"",1,0.99,"Used","1","AT&T","Black","16","iPad 1",NA,12234,"Test"
"",0,98,"Used","0","None","Black","32","iPad 1",NA,12235,"Test"
"somescratches on the back ans corners. works  great. barely used. kids played  games only",1,119.98,"Used","0","None","Unknown","16","iPad mini",NA,12236,"Test"
"Used for under a week, mint condition",1,0.99,"Used","0","None","Gold","64","iPad Air 2",NA,12237,"Test"
"",0,350,"Used","1","AT&T","Unknown","32","iPad Air",NA,12238,"Test"
"",1,350,"New","0","None","Unknown","16","iPad Air",NA,12239,"Test"
"Good Condition! Fully Functional!",1,0.99,"Seller refurbished","0","None","Black","32","iPad 1",NA,12240,"Test"
"",1,169.99,"Used","0","None","Black","16","Unknown",NA,12241,"Test"
"",0,315,"Used","1","Verizon","Black","64","iPad mini",NA,12242,"Test"
"",0,100,"Used","0","None","Black","16","iPad 1",NA,12243,"Test"
"",1,49.99,"Used","1","Verizon","Unknown","64","iPad 2",NA,12244,"Test"
"FULLY FUNCTIONAL",1,0.99,"Seller refurbished","1","AT&T","Black","16","iPad 1",NA,12245,"Test"
"excellent condition barely any scratches",0,275,"Used","1","T-Mobile","White","16","iPad mini 2",NA,12246,"Test"
"Will have some cosmetic damage.",0,255,"Used","1","AT&T","Unknown","16","iPad 4",NA,12247,"Test"
"GOOD CONDITION",1,89.99,"Used","0","None","Unknown","16","iPad Air",NA,12248,"Test"
"",1,375,"Used","0","None","White","32","iPad Air",NA,12249,"Test"
"Will have some cosmetic damage.",0,344,"Used","1","AT&T","Unknown","64","iPad 4",NA,12250,"Test"
"Used only once! Includes original box and charger",0,199,"Used","0","None","Unknown","16","iPad mini",NA,12251,"Test"
"Marks and scuffs.",1,350,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",NA,12252,"Test"
"",1,249.97,"Manufacturer refurbished","1","Unknown","Black","64","iPad 2",NA,12253,"Test"
"Used IPad for sale but in excellent condition. No defect or damage.",1,45,"Used","0","None","Black","16","iPad 1",NA,12254,"Test"
"",0,588.18,"New","1","AT&T","White","64","iPad 4",NA,12255,"Test"
"Item that has been restored to working order item is not in original packaging item may have light ",0,375.99,"Seller refurbished","0","None","White","64","iPad Air",NA,12256,"Test"
"",1,249,"Used","0","None","Unknown","16","iPad 3",NA,12257,"Test"
"These units are in great working condition.  All three have minor scratching around the headphone ",0,494.5,"Used","0","None","Black","16","iPad 3",NA,12258,"Test"
"",0,155,"Used","0","None","Unknown","16","iPad 1",NA,12259,"Test"
"OPENED BOX TO MAKE SURE ITEM IS THERE. PLASTIC STILL ON IPAD",1,0.99,"New other (see details)","0","None","White","32","iPad Air",NA,12260,"Test"
"I&#039;m great condition! Rarely ever been used and has always been in a case.",1,199.99,"Used","0","None","Unknown","16","iPad mini",NA,12261,"Test"
"",0,559.99,"New","0","None","Space Gray","64","iPad Air 2",NA,12262,"Test"
"",1,0.99,"Used","1","Unknown","Unknown","16","Unknown",NA,12263,"Test"
"",1,99,"Used","0","None","Space Gray","16","iPad 2",NA,12264,"Test"
"",1,1,"Manufacturer refurbished","0","None","White","16","iPad 2",NA,12265,"Test"
"",0,370,"New","0","None","Unknown","16","iPad mini",NA,12266,"Test"
"",0,450,"Used","1","T-Mobile","Unknown","16","iPad Air",NA,12267,"Test"
"",1,178.99,"New other (see details)","0","None","Unknown","16","iPad mini",NA,12268,"Test"
"This item is in Fair cosmetic condition. 100% Fully Functional, Clean IMEI &amp; iCloud, professionally ",0,158.99,"Used","0","None","Black","32","iPad 2",NA,12269,"Test"
"In excellent condition. Barely used.",1,249,"Used","0","None","Space Gray","32","iPad mini 2",NA,12270,"Test"
"",1,1,"New","0","None","White","16","iPad mini",NA,12271,"Test"
"",1,300,"Used","0","None","Unknown","128","iPad Air",NA,12272,"Test"
"few minor scratches and bumps, great condition",1,175,"Used","0","None","Unknown","Unknown","Unknown",NA,12273,"Test"
"",1,174.99,"Seller refurbished","0","None","Black","16","iPad mini",NA,12274,"Test"
"",1,199.99,"Used","0","None","Unknown","16","iPad mini 3",NA,12275,"Test"
"IPAD IS IN GREAT CONDITION. IT HAS NO DENTS OR SCRATCHES. IPAD HAS BEEN FACTORY RESET.",0,249.99,"Used","0","None","Space Gray","16","iPad mini",NA,12276,"Test"
"",0,399.99,"Manufacturer refurbished","1","Unknown","Unknown","32","iPad Air",NA,12277,"Test"
"",1,199.99,"Used","Unknown","Unknown","Unknown","16","iPad Air",NA,12278,"Test"
"",0,175,"Used","0","None","Black","16","iPad 2",NA,12279,"Test"
"",1,279.99,"Used","0","None","White","16","iPad 4",NA,12280,"Test"
"Has been covered with a Zagg InvisibleShield since it came out of the box and kept in a case.  Front ",0,449.99,"Used","0","None","Space Gray","64","iPad Air",NA,12281,"Test"
"",0,588.18,"New","1","AT&T","White","64","iPad 4",NA,12282,"Test"
"",1,230,"Used","1","Unknown","Unknown","64","Unknown",NA,12283,"Test"
"",0,625,"Used","1","Unknown","Space Gray","64","iPad Air 2",NA,12284,"Test"
"",1,165,"Used","0","None","White","16","iPad 2",NA,12285,"Test"
"",1,595,"New","1","Unknown","White","128","iPad Air 2",NA,12286,"Test"
"it is LOCKED  otherwise good condition.",0,199,"Used","Unknown","Unknown","Unknown","Unknown","iPad mini 2",NA,12287,"Test"
"NO RETAIL BOX !!!",0,334.95,"Used","1","Sprint","Black","64","iPad mini",NA,12288,"Test"
"",1,300,"New","Unknown","Unknown","Unknown","Unknown","iPad mini 2",NA,12289,"Test"
"very nice and clean works like new, few light  scratches one front and back, this is ready to use no ",0,175,"Used","0","None","Unknown","16","iPad 2",NA,12290,"Test"
"Has a cracked screen and has always been in an otter box.I had removed case to clean and my toddler ",1,250,"Used","0","None","Unknown","16","iPad mini 2",NA,12291,"Test"
"This item is used and in Heavily Used condition. 100% Fully Functional, Clean IMEI (ESN) &amp; iCloud, ",0,347.24,"Used","1","AT&T","Space Gray","64","iPad Air",NA,12292,"Test"
"",0,214.95,"Used","0","None","Unknown","16","Unknown",NA,12293,"Test"
"",0,300,"Used","0","None","Unknown","16","iPad 4",NA,12294,"Test"
"Item is in great shape. It has a Zaag Invisible Shield screen protector installed. There is one ",0,160,"Used","0","None","Unknown","16","iPad mini",NA,12295,"Test"
"New in box but not sealed",0,549.99,"New other (see details)","0","None","Space Gray","64","iPad Air 2",NA,12296,"Test"
"",1,150,"Used","0","None","White","16","iPad mini",NA,12297,"Test"
"",0,249.99,"Used","1","Verizon","Black","32","iPad 3",NA,12298,"Test"
"",0,150,"Used","0","None","Unknown","16","iPad 2",NA,12299,"Test"
"",0,509.99,"New","1","Unknown","Space Gray","16","iPad Air",NA,12300,"Test"
"A device listed in Average/Fair  condition with some scratches, scuffs on the housing &amp; screen (do ",0,100,"Used","1","AT&T","White","64","iPad 1",NA,12301,"Test"
"",0,429.99,"New","Unknown","Unknown","Space Gray","64","iPad mini 2",NA,12302,"Test"
"",1,279.99,"New","0","None","White","16","iPad mini",NA,12303,"Test"
"",0,320.99,"Used","0","None","Space Gray","16","iPad Air",NA,12304,"Test"
"",1,90,"New other (see details)","0","None","Unknown","16","iPad mini",NA,12305,"Test"
"",0,450,"Used","1","AT&T","Black","32","iPad 3",NA,12306,"Test"
"",0,99,"Used","0","None","Black","16","iPad 1",NA,12307,"Test"
"Like new",1,0.01,"Used","0","None","Unknown","32","Unknown",NA,12308,"Test"
"Minor scratches on screen and/or back. Dented on corner. Please refer to images.",0,164.99,"Seller refurbished","0","None","White","16","iPad 2",NA,12309,"Test"
